data_horario;user_home;user_away;team_home;team_away;resultado;Score_end_home;Score_end_away;target_class;team_playing_home;team_playing_away
2021-03-07 10:04:00;FOGGY;REBELS;BRAZIL (FOGGY) ESPORTS;GERMANY (REBELS) ESPORTS;2-1;2;1;1;BRAZIL;GERMANY
2021-03-07 10:16:00;SLEZAINTIMA;FOGGY;BELGIUM (SLEZAINTIMA) ESPORTS;BRAZIL (FOGGY) ESPORTS;0-2;0;2;2;BELGIUM;BRAZIL
2021-03-07 10:28:00;FOGGY;PLEVIS;BRAZIL (FOGGY) ESPORTS;PORTUGAL (PLEVIS) ESPORTS;1-1;1;1;0;BRAZIL;PORTUGAL
2021-03-07 10:28:00;REBELS;SLEZAINTIMA;GERMANY (REBELS) ESPORTS;BELGIUM (SLEZAINTIMA) ESPORTS;0-1;0;1;2;GERMANY;BELGIUM
2021-03-07 10:50:00;REBELS;PLEVIS;NAPOLI (REBELS) ESPORTS;BAYER 04 (PLEVIS) ESPORTS;1-2;1;2;2;NAPOLI;BAYER 04
2021-03-07 11:02:00;PLEVIS;SLEZAINTIMA;BAYER 04 (PLEVIS) ESPORTS;ARSENAL (SLEZAINTIMA) ESPORTS;2-2;2;2;0;BAYER 04;ARSENAL
2021-03-07 11:14:00;REBELS;FOGGY;NAPOLI (REBELS) ESPORTS;LEICESTER (FOGGY) ESPORTS;0-3;0;3;2;NAPOLI;LEICESTER
2021-03-07 11:26:00;FOGGY;SLEZAINTIMA;LEICESTER (FOGGY) ESPORTS;ARSENAL (SLEZAINTIMA) ESPORTS;0-2;0;2;2;LEICESTER;ARSENAL
2021-03-07 11:38:00;SLEZAINTIMA;REBELS;ARSENAL (SLEZAINTIMA) ESPORTS;NAPOLI (REBELS) ESPORTS;3-2;3;2;1;ARSENAL;NAPOLI
2021-03-07 11:38:00;PLEVIS;FOGGY;BAYER 04 (PLEVIS) ESPORTS;LEICESTER (FOGGY) ESPORTS;0-0;0;0;0;BAYER 04;LEICESTER
2021-03-07 11:50:00;PLEVIS;REBELS;BAYER 04 (PLEVIS) ESPORTS;NAPOLI (REBELS) ESPORTS;3-0;3;0;1;BAYER 04;NAPOLI
2021-03-07 12:02:00;SLEZAINTIMA;PLEVIS;ARSENAL (SLEZAINTIMA) ESPORTS;BAYER 04 (PLEVIS) ESPORTS;3-1;3;1;1;ARSENAL;BAYER 04
2021-03-07 12:14:00;FOGGY;REBELS;LEICESTER (FOGGY) ESPORTS;NAPOLI (REBELS) ESPORTS;4-0;4;0;1;LEICESTER;NAPOLI
2021-03-07 12:26:00;SLEZAINTIMA;FOGGY;ARSENAL (SLEZAINTIMA) ESPORTS;LEICESTER (FOGGY) ESPORTS;0-0;0;0;0;ARSENAL;LEICESTER
2021-03-07 12:38:00;REBELS;SLEZAINTIMA;NAPOLI (REBELS) ESPORTS;ARSENAL (SLEZAINTIMA) ESPORTS;2-2;2;2;0;NAPOLI;ARSENAL
2021-03-07 12:38:00;FOGGY;PLEVIS;LEICESTER (FOGGY) ESPORTS;BAYER 04 (PLEVIS) ESPORTS;1-2;1;2;2;LEICESTER;BAYER 04
2021-03-07 13:10:00;REBELS;PLEVIS;REAL MADRID (REBELS) ESPORTS;LIVERPOOL (PLEVIS) ESPORTS;0-0;0;0;0;REAL MADRID;LIVERPOOL
2021-03-07 13:22:00;PLEVIS;SLEZAINTIMA;LIVERPOOL (PLEVIS) ESPORTS;BAYERN (SLEZAINTIMA) ESPORTS;2-3;2;3;2;LIVERPOOL;BAYERN
2021-03-07 13:34:00;REBELS;FOGGY;REAL MADRID (REBELS) ESPORTS;BARCELONA (FOGGY) ESPORTS;0-3;0;3;2;REAL MADRID;BARCELONA
2021-03-07 13:46:00;FOGGY;SLEZAINTIMA;BARCELONA (FOGGY) ESPORTS;BAYERN (SLEZAINTIMA) ESPORTS;0-4;0;4;2;BARCELONA;BAYERN
2021-03-07 13:58:00;PLEVIS;FOGGY;LIVERPOOL (PLEVIS) ESPORTS;BARCELONA (FOGGY) ESPORTS;1-0;1;0;1;LIVERPOOL;BARCELONA
2021-03-07 13:58:00;SLEZAINTIMA;REBELS;BAYERN (SLEZAINTIMA) ESPORTS;REAL MADRID (REBELS) ESPORTS;0-1;0;1;2;BAYERN;REAL MADRID
2021-03-07 14:10:00;PLEVIS;REBELS;LIVERPOOL (PLEVIS) ESPORTS;REAL MADRID (REBELS) ESPORTS;1-2;1;2;2;LIVERPOOL;REAL MADRID
2021-03-07 14:22:00;SLEZAINTIMA;PLEVIS;BAYERN (SLEZAINTIMA) ESPORTS;LIVERPOOL (PLEVIS) ESPORTS;1-1;1;1;0;BAYERN;LIVERPOOL
2021-03-07 14:34:00;FOGGY;REBELS;BARCELONA (FOGGY) ESPORTS;REAL MADRID (REBELS) ESPORTS;2-3;2;3;2;BARCELONA;REAL MADRID
2021-03-07 14:46:00;SLEZAINTIMA;FOGGY;BAYERN (SLEZAINTIMA) ESPORTS;BARCELONA (FOGGY) ESPORTS;1-1;1;1;0;BAYERN;BARCELONA
2021-03-07 14:58:00;REBELS;SLEZAINTIMA;REAL MADRID (REBELS) ESPORTS;BAYERN (SLEZAINTIMA) ESPORTS;1-0;1;0;1;REAL MADRID;BAYERN
2021-03-07 14:58:00;FOGGY;PLEVIS;BARCELONA (FOGGY) ESPORTS;LIVERPOOL (PLEVIS) ESPORTS;1-2;1;2;2;BARCELONA;LIVERPOOL
2021-03-07 15:20:00;REBELS;PLEVIS;ATALANTA (REBELS) ESPORTS;AC MILAN (PLEVIS) ESPORTS;2-0;2;0;1;ATALANTA;AC MILAN
2021-03-07 15:32:00;PLEVIS;SLEZAINTIMA;AC MILAN (PLEVIS) ESPORTS;NAPOLI (SLEZAINTIMA) ESPORTS;2-3;2;3;2;AC MILAN;NAPOLI
2021-03-07 15:44:00;REBELS;FOGGY;ATALANTA (REBELS) ESPORTS;LAZIO (FOGGY) ESPORTS;0-3;0;3;2;ATALANTA;LAZIO
2021-03-07 15:56:00;FOGGY;SLEZAINTIMA;LAZIO (FOGGY) ESPORTS;NAPOLI (SLEZAINTIMA) ESPORTS;2-2;2;2;0;LAZIO;NAPOLI
2021-03-07 16:08:00;SLEZAINTIMA;REBELS;NAPOLI (SLEZAINTIMA) ESPORTS;ATALANTA (REBELS) ESPORTS;1-0;1;0;1;NAPOLI;ATALANTA
2021-03-07 16:08:00;PLEVIS;FOGGY;AC MILAN (PLEVIS) ESPORTS;LAZIO (FOGGY) ESPORTS;1-1;1;1;0;AC MILAN;LAZIO
2021-03-07 16:20:00;PLEVIS;REBELS;AC MILAN (PLEVIS) ESPORTS;ATALANTA (REBELS) ESPORTS;1-0;1;0;1;AC MILAN;ATALANTA
2021-03-07 16:32:00;SLEZAINTIMA;PLEVIS;NAPOLI (SLEZAINTIMA) ESPORTS;AC MILAN (PLEVIS) ESPORTS;2-0;2;0;1;NAPOLI;AC MILAN
2021-03-07 16:44:00;FOGGY;REBELS;LAZIO (FOGGY) ESPORTS;ATALANTA (REBELS) ESPORTS;0-0;0;0;0;LAZIO;ATALANTA
2021-03-07 16:56:00;SLEZAINTIMA;FOGGY;NAPOLI (SLEZAINTIMA) ESPORTS;LAZIO (FOGGY) ESPORTS;1-1;1;1;0;NAPOLI;LAZIO
